DATES,POLLSTER,SAMPLE,SAMPLE_AUDIENCE,WEIGHT,NELSON,SCOTT,MARGIN,
NOV 3-4,St. Pete Polls,"3,088",LV,1.36,50%,46%,D+3.7,
NOV 2-4,Harris Interactive,600,LV,0.69,45%,49%,R+3.9,
OCT 29-NOV 4,Quinnipiac University,"1,142",LV,2.26,51%,44%,D+7.0,
NOV 1-3,Emerson College,784,LV,2.17,50%,45%,D+5.0,
NOV 1-3,Harris Interactive,600,LV,0.21,45%,47%,R+1.7,
NOV 1-3,Research Co.,450,RV,0.99,47%,46%,D+1.0,
NOV 1-2,Change Research ,"1,236",LV,1.33,50%,48%,D+2.0,
NOV 1-2,St. Pete Polls,"2,733",LV,0.96,48%,49%,R+1.6,
OCT 31-NOV 2,Harris Interactive,600,LV,0.18,46%,48%,R+2.6,
OCT 30-NOV 2,Marist College,595,LV,1.86,50%,46%,D+4.0,
OCT 29-NOV 2,Gravis Marketing,753,LV,0.98,50%,47%,D+3.0,
OCT 30-NOV 1,Harris Interactive,600,LV,0.16,45%,50%,R+5.0,
OCT 30-31,St. Pete Polls,"2,470",LV,0.69,49%,47%,D+1.9,
OCT 29-31,Harris Interactive,600,LV,0.15,45%,48%,R+3.2,
OCT 28-31,Targoz Market Research,558,LV,1.05,45%,49%,R+4.0,
OCT 29-30,Trafalgar Group,"2,543",LV,1.88,49%,47%,D+2.2,
OCT 27-30,Vox Populi Polling,696,LV,1.12,50%,50%,EVEN,
OCT 24-30,Harris Interactive,"1,400",LV,0.53,43%,44%,R+0.9,
OCT 27-29,Cygnal,495,LV,0.98,50%,48%,D+1.8,
OCT 24-29,CNN/SSRS,781,LV,1.33,49%,47%,D+2.0,
OCT 25-28,Suffolk University,500,LV,1.02,45%,43%,D+1.8,
OCT 23-27,Siena College/New York Times,737,LV,1.44,48%,44%,D+3.5,
OCT 23-26,University of North Florida,"1,051",LV,1.61,47%,46%,D+1.0,
OCT 23-26,YouGov,991,LV,1.36,46%,46%,EVEN,
OCT 17-25,Ipsos,"1,069",LV,1.13,49%,44%,D+5.0,
OCT 22-23,Gravis Marketing,773,LV,0.42,49%,45%,D+4.0,
OCT 16-23,Strategic Research Associates,800,LV,0.72,46%,45%,D+1.0,
OCT 16-22,Saint Leo University,698,LV,0.5,47%,38%,D+8.2,
OCT 20-21,St. Pete Polls,"1,575",LV,0.15,48%,49%,R+0.3,
OCT 18-21,Florida Atlantic University,704,LV,0.61,41%,42%,R+1.7,
OCT 18-21,SurveyUSA,665,LV,0.98,49%,41%,D+8.0,
OCT 17-21,Quinnipiac University,"1,161",LV,0.57,52%,46%,D+6.0,
OCT 17-20,"Schroth, Eldon & Associates",600,LV,0.62,45%,47%,R+2.0,
OCT 16-20,CNN/SSRS,759,LV,0.5,50%,45%,D+5.0,
OCT 14-18,OnMessage Inc. ,"2,200",LV,0.59,46%,51%,R+5.0,
OCT 15-16,St. Pete Polls,"1,974",LV,0.11,47%,49%,R+1.4,
OCT 1-5,Florida Southern College,476,LV,0.22,44%,46%,R+1.5,
SEP 19-OCT 2,Kaiser Family Foundation,522,RV,0.16,48%,45%,D+3.0,
SEP 29-30,St. Pete Polls,"2,313",LV,0.03,47%,47%,D+0.7,
SEP 28-30,Public Policy Polling ,779,V,0.17,48%,44%,D+4.0,
SEP 17-30,Strategic Research Associates,800,LV,0.05,45%,44%,D+1.0,
SEP 24-27,"Mason-Dixon Polling & Research, Inc.",815,LV,0.26,47%,46%,D+1.0,
SEP 22-24,Quinnipiac University,888,LV,0.03,53%,46%,D+7.0,
