year,artist,track,time,id
2000,2 Pac,Baby Don't Cry (Keep...,4:22,0
2000,2Ge+her,The Hardest Part Of ...,3:15,1
2000,3 Doors Down,Kryptonite,3:53,2
2000,3 Doors Down,Loser,4:24,3
2000,504 Boyz,Wobble Wobble,3:35,4
2000,98^0,Give Me Just One Nig...,3:24,5
2000,A*Teens,Dancing Queen,3:44,6
2000,Aaliyah,I Don't Wanna,4:15,7
2000,Aaliyah,Try Again,4:03,8
2000,"Adams, Yolanda",Open My Heart,5:30,9
2000,"Adkins, Trace",More,3:05,10
2000,"Aguilera, Christina",Come On Over Baby (A...,3:38,11
2000,"Aguilera, Christina",I Turn To You,4:00,12
2000,"Aguilera, Christina",What A Girl Wants,3:18,13
2000,Alice Deejay,Better Off Alone,6:50,14
2000,"Allan, Gary",Smoke Rings In The D...,4:18,15
2000,Amber,Sexual,4:38,16
2000,Anastacia,I'm Outta Love,4:01,17
2000,"Anthony, Marc",My Baby You,3:59,18
2000,"Anthony, Marc",You Sang To Me,3:50,19
2000,Avant,My First Love,4:28,20
2000,Avant,Separated,4:13,21
2000,BBMak,Back Here,3:35,22
2000,"Backstreet Boys, The",Shape Of My Heart,3:49,23
2000,"Backstreet Boys, The",Show Me The Meaning ...,3:54,24
2000,"Backstreet Boys, The",The One,3:46,25
2000,"Badu, Erkyah",Bag Lady,5:03,26
2000,Baha Men,Who Let The Dogs Out,3:17,27
2000,Barenaked Ladies,Pinch Me,3:46,28
2000,Beenie Man,Girls Dem Sugar,4:17,29
2000,Before Dark,Monica,4:04,30
2000,"Bega, Lou",Tricky Tricky ,3:23,31
2000,Big Punisher,It's So Hard,3:25,32
2000,Black Rob,Whoa!,4:04,33
2000,"Black, Clint",Been There,5:28,34
2000,Blaque,Bring It All To Me,3:46,35
2000,"Blige, Mary J.",Deep Inside,5:26,36
2000,"Blige, Mary J.",Give Me You,5:00,37
2000,Blink-182,All The Small Things,2:52,38
2000,Bloodhound Gang,The Bad Touch,4:20,39
2000,Bon Jovi,It's My Life,3:44,40
2000,"Braxton, Toni",He Wasn't Man Enough,4:21,41
2000,"Braxton, Toni",Just Be A Man About ...,4:10,42
2000,"Braxton, Toni",Spanish Guitar,4:24,43
2000,"Brock, Chad",A Country Boy Can Su...,3:54,44
2000,"Brock, Chad",Yes!,3:22,45
2000,Brooks & Dunn,You'll Always Be Lov...,2:58,46
2000,"Brooks, Garth",Do What You Gotta Do,2:56,47
2000,"Byrd, Tracy",Put Your Hand In Min...,4:30,48
2000,"Cagle, Chris",My Love Goes On And ...,3:02,49
2000,Cam'ron,What Means The World...,4:38,50
2000,"Carey, Mariah",Crybaby,5:19,51
2000,"Carey, Mariah",Thank God I Found Yo...,4:14,52
2000,"Carter, Aaron",Aaron's Party (Come ...,3:23,53
2000,"Carter, Torrey",Take That,3:43,54
2000,Changing Faces,That Other Woman,4:00,55
2000,"Chesney, Kenny",I Lost It,3:54,56
2000,"Chesney, Kenny",What I Need To Do,4:05,57
2000,Clark Family Experience,Meanwhile Back At Th...,2:56,58
2000,"Clark, Terri",A Little Gasoline,3:07,59
2000,Common,The Light,3:55,60
2000,Counting Crows,Hanginaround,4:07,61
2000,Creed,Higher,5:16,62
2000,Creed,With Arms Wide Open,3:52,63
2000,"Cyrus, Billy Ray",You Won't Be Lonely ...,3:45,64
2000,D'Angelo,Left & Right,4:35,65
2000,D'Angelo,Untitled (How Does I...,7:10,66
